cerclis_id,name,address,county,state,hrs_score,reason,proposed,listed,construction_completed,partially_deleted,deleted,report,latitude,longitude
ALD095688875,Stauffer Chemical Company (Cold Creek Plant),,Mobile,Alabama,,"The site is adjacent to the LeMoyne Plant site and manufacters agricultural 
chemicals. Ponds containing sludges and soils contaminated by carbon 
disulfide, sulfuric acid, carbon tetrachloride, caustics, chlorine, Crystex 
(a proprietary sulfur-containing compound), thiocarbamates and various 
metals including mercury. On-site groundwater is contaminated by 
thiocambates and off-site wells by carbon tetrachloride, carbon disulfide 
and thiocarbamates. Sediments and fish in Cold Creek Swamp are contaminated 
by mercury from former discharge practices.[21]",9/8/1983,9/21/1984,–,–,–,,,
ALD008161176,Stauffer Chemical Company (LeMoyne Plant),,Mobile,Alabama,,"The site is adjacent to the Cold Creek Plant site and manufactures various 
hazardous chemicals. Ponds contain contaminated soils and sludges, as 
above. Groundwater is contaminated by carbon tetrachloride, carbon disulfide, 
thiocarbamates and thiocyanate.[22]",9/8/1983,9/21/1984,–,–,–,,,
ALD007454085,T.H. Agriculture & Nutrition (Montgomery),,Montgomery,Alabama,,"Groundwater contamination by pesticides, including hexachlorides, herbicides 
and VOCs including TCE and PCE. Soil and sediments are contaminated by 
pesticides, including DDT, DDE, DDD and toxaphene, and metals including 
arsenic.[23]",6/24/1988,8/30/1990,9/27/2002,–,–,,,
ALD983166299,Triana/Tennessee River,,"Morgan, Limestone, and Madison",Alabama,,"DDT contamination of soil, sediments, ground water, surface water and fish, 
mostly within the Wheeler National Wildlife Refuge and Redstone Arsenal.[24]",12/30/1982,9/8/1983,12/18/1991,–,–,,,
AK4170024323,Adak Naval Air Station,,Aleutians West,Alaska,,"Groundwater, sediments, surface water, and soil in several locations on the 
island are contaminated with petroleum-related constituents, polychlorinated 
biphenyls (PCBs), metals, chlorinated solvents, ordnance, explosives, and unexploded 
ordnance. Groundwater contaminated with petroleum and organic chemicals.
",10/14/1992,5/31/1994,–,–,–,,,
AK8570028649,Elmendorf Air Force Base,,Anchorage,Alaska,,"Soil and shallow groundwater beneath the various landfills, fuel storage 
facilities, training areas, and maintenance hangars located on base have 
been contaminated with petroleum hydrocarbons and other fuel contaminants, volatile 
organic compounds (VOCs), polycyclic aromatic hydrocarbons (PAHs), polychlorinated 
biphenyls (PCBs), pesticides, asphalt and associated chemicals, and heavy 
metals including lead.[10][11]",7/14/1989,8/30/1990,–,–,–,,,
AK6214522157,Fort Richardson (USARMY),,Anchorage,Alaska,,"Sediment and surface water contaminated with white phosphorus. Soil at the 
Roosevelt Road Transmitter Site is contaminated with volatile organic 
compounds (VOCs), heavy metals, and polychlorinated biphenyls (PCBs). Soil 
and groundwater at the Poleline Road Disposal Area is contaminated with 
VOCs.[12][13]",6/23/1993,5/31/1994,9/28/2006,–,–,,,
AKD980978787,Standard Steel & Metals Salvage Yard (USDOT),,Anchorage,Alaska,,"Soil contaminated with lead, polychlorinated biphenyls (PCBs), solvents, 
dioxins, and furan.[14][15]",7/14/1989,8/30/1990,9/16/1999,–,9/30/2002,,,
AKD004904215,Alaska Battery Enterprises,,Fairbanks North Star,Alaska,,"Soil contaminated with lead that had been released from the battery yard.
[16][17]",6/24/1988,3/31/1989,3/2/1993,–,7/26/1996,,,
AKD980988158,Arctic Surplus,,Fairbanks North Star,Alaska,,"On-site groundwater contaminated with trichloroethylene (TCE). On-site soil 
contaminated with industrial solvents, polychlorinated biphenyls (PCBs), 
and lead.[18][19]",10/26/1989,8/30/1990,4/18/2005,–,9/25/2006,,,
AK1570028646,Eielson Air Force Base,,Fairbanks North Star,Alaska,,"Groundwater contains lead and volatile organic compounds (VOCs) such as 
benzene, xylene, and toluene (BTEX compounds). Several areas of subsurface 
petroleum-contaminated soil and floating petroleum product are the sources 
of continuing groundwater contamination.[20][21]",7/14/1989,11/21/1989,9/30/1998,–,–,,,
AK6210022426,Fort Wainwright,,Fairbanks North Star,Alaska,,"Groundwater and soil contaminated with solvents, petroleum products, 
pesticides, fuel additives, lead and polynuclear aromatic hydrocarbons 
(PAHs). Sediments contain PAHs and low level pesticides.[22][23]",7/14/1989,8/30/1990,9/27/2002,–,–,,,
AK0001897602,Salt Chuck Mine,,Outer Ketchikan,Alaska,,"Water and sediments in Kasaan Bay and Lake Ellen Creek contaminated with heavy 
metals from mine tailings.[24][25]",9/23/2009,3/4/2010,–,–,–,,,
AZD980695969,Abandoned Uranium Mines,,Navajo Nation,Arizona,,Physical hazards and uranium contamination from 520 abandoned uranium mines.,–,–,–,–,–,,,
AZD008399263,Apache Powder Company,,Cochise,Arizona,,"Groundwater contaminated with arsenic, fluoride, nitrate, and perchlorate. 
Soil contaminated with arsenic, antimony, barium, beryllium, chromium, lead, 
manganese, nitrate, 2,4-DNT, 2,6-DNT, lead, vanadium pentoxide, paraffins, 
and TNT from the commercial production of chemicals.[10]",6/10/1986,8/30/1990,9/26/2008,–,–,,,
AZD980735666,Hassayampa Landfill,,Maricopa,Arizona,,"Groundwater contamination by VOCs including haloalkanes, alkyl halides and 
toluene, from landfilling of hazardous waste. Soil contamination by VOCs, heavy 
metals, pesticides and lime wastes.[11]",6/10/1986,7/22/1987,9/30/1997,–,–,,,
AZD980695969,Indian Bend Wash Area,,Maricopa,Arizona,,"Groundwater contamination (and isolated soil contamination) by VOCs 
including TCE and PCE from former industrial disposal practices.[12][13]",12/30/1982,9/8/1983,9/28/2006,5/1/2003,–,,,
AZ0000309013,Iron King Mine - Humboldt Smelter,,Yavapai,Arizona,,"Arsenic contamination of soil, sediments, surface water and ground water, 
including several private wells and one municipal well. Arsenic and lead 
contamination of soil in residential yards.[14]",3/19/2008,9/3/2008,–,–,–,,,
AZ0570024133,Luke Air Force Base,,Maricopa,Arizona,,"Soil and potential groundwater contamination with waste oils and VOCs from 
base operations.[15]",7/14/1989,8/30/1990,9/25/2000,–,4/22/2002,,,
AZD009004177,"Motorola, Inc. (52nd Street Plant)",,Maricopa,Arizona,,"Soil and groundwater contamination by various chlorinated hydrocarbons used 
as solvents.[16]",10/15/1984,10/4/1989,–,–,–,,,
AZD980735724,Mountain View Mobile Home Estates,,Gila,Arizona,,Asbestos contamination of soil and air from asbestos milling operations.[17],12/30/1982,9/8/1983,4/18/1988,–,4/18/1988,,,
AZD980496780,Nineteenth Avenue Landfill,,Maricopa,Arizona,,"Landfill site, containing some hazardous waste, was at risk from leaching, 
river erosion and flooding. Low-level groundwater contamination.[18]",12/30/1982,9/8/1983,2/17/1998,–,9/25/2006,,,
AZD980695902,Phoenix-Goodyear Airport Area,,Maricopa,Arizona,,"Groundwater contamination by chromium, solvents, TCE and other VOCs.[19]",12/30/1982,9/8/1983,–,–,–,,,
AZD980737530,Tucson International Airport Area,,Pima,Arizona,,Groundwater contamination by TCE and some other substances.[20],12/30/1982,9/8/1983,–,–,–,,,
AZ7570028582,Williams Air Force Base,,Maricopa,Arizona,,"Groundwater contamination by light non-aqueous phase liquids and VOCs; soil 
contaminated by VOCs, PCBs and pesticides from past disposal practices.[21]",7/14/1989,11/21/1989,–,–,–,,,
AZ0971590062,Yuma Marine Corps Air Station,,Yuma,Arizona,,"Asbestos soil contamination and groundwater contamination by PCE, TCE and 
DCE.[22]",6/24/1988,2/21/1990,9/20/2000,–,–,,,
ARD084930148,"Arkwood, Inc.",,Boone,Arkansas,,"Soil contaminated by PAHs, PCP and trace dioxins and a nearby spring 
contaminated by PCP, from former wood treatment activities.",9/18/1985,3/31/1989,6/28/1996,–,–,,,
ARD980496186,Cecil Lindsey,,Jackson,Arkansas,,"Solid waste containing metal industry waste and contaminated by pesticides, heavy 
metals; leachate contains heavy metals and organic compounds with potential 
to contaminate groundwater and surface water.[10]",12/30/1982,9/8/1983,3/16/1989,–,9/22/1989,,,
ARD059636456,Frit Industries,,Lawrence,Arkansas,,"Soil and groundwater contamination by zinc sulfate, cadmium, chromium and 
lead after a 1979 fire in a storage facility.[11][12]",12/30/1982,9/8/1983,–,–,10/14/1997,,,
ARD035662469,Gurley Pit,,Crittenden,Arkansas,,"Oil refinery waste was dumped in a pit on site. The waste sludge contains 
PCBs and soil and groundwater are contaminated by barium, lead and zinc.[13]
[14]",12/30/1982,9/8/1983,9/13/1994,–,11/6/2003,,,
ARD980496368,Industrial Waste Control,,Sebastian,Arkansas,,"Several hundred buried drums contained methylene dichloride, toluene, PAHs 
and heavy metals, including nickel, chromium and lead. Drums and contents 
have been removed and incinerated; highly contaminated soil has been 
stabilized on site.[15][16]",12/30/1982,9/8/1983,6/10/1992,–,4/7/2008,,,
ARD980809941,Jacksonville Municipal Landfill,,Lonoke,Arkansas,,"Soil contamination from illegal dumping of industrial waste including 
dioxins and herbicides.[17][18]",1/22/1987,7/22/1987,9/25/1995,–,3/14/2000,,,
ARD980745665,Midland Products,,Yell,Arkansas,,"Soil, sediment, surface water and groundwater contamination by PCP and PAHs 
from former wood treatment activities.[19][20]",10/15/1984,6/10/1986,12/21/1993,–,–,,,
ARD092916188,Mid-South Wood Products,,Polk,Arkansas,,"Soil and groundwater contamination by arsenic, cadmium, chromium, PCP and 
creosote from wood treatment activities, threatening local fisheries and 
drinking wells for around 5,700 people.[21][22]",12/30/1982,9/8/1983,9/28/1989,–,–,,,
ARD980864110,Monroe Auto Equipment (Paragould Pit),,Greene,Arkansas,,"Soil and groundwater contamination by from VOCs and heavy metals including 
chromium and lead. The site contains an estimated 3,000 cubic yards of 
electroplating waste sludge.[23][24]",10/26/1989,8/30/1990,9/19/2001,–,–,,,
ARD049658628,Mountain Pine Pressure Treating,,Yell,Arkansas,,"Liquid waste and sludge containing PCP and arsenic, and contaminated soil 
from former wood treatment operations have been stabilized and safely 
buried on site.[25][26]",4/23/1999,7/22/1999,9/28/2005,–,–,,,
ARD042755231,Ouachita-Nevada Wood Treaters,,Ouachita,Arkansas,,"Soil, surface water and liquid waste contaminated by PCP and arsenic from 
former wood treatment operations. Waste and contaminated soil have been 
removed from the site and incinerated.[27][28]",2/4/2000,5/11/2000,9/21/2006,–,–,,,
ARD008052508,"Popile, Inc.",,Union,Arkansas,,"Groundwater, surface water and soil contamination by creosote and 
pentachlorophenol from former wood treatment operations.[29][30]",2/7/1992,10/14/1992,9/28/2001,–,–,,,
ARD981055809,Rogers Road Municipal Landfill,,Pulaski,Arkansas,,"Deteriorating drums containing dioxin-contaminated herbicides and pesticides, 
and contaminated soil have been removed from the site and safely destroyed.
[31][32]",1/22/1987,7/22/1987,9/25/1995,–,Pending,,,
ARD980496723,South 8th Street Landfill,,Crittenden,Arkansas,,"Approximately 20,000 cubic yards of highly acidic oily sludge containing 
lead, PCBs and PAHs and 22,000 cubic yards of contaminated soil have been 
neutralized. Other soil in the landfill is contaminated by PCBs and 
pesticides. Groundwater contamination by lead, arsenic and manganese has 
been cleaned up.[33][34]",2/7/1992,10/14/1992,9/19/2000,–,9/28/2004,,,
ARD000023440,"Vertac, Inc.",,Pulaski,Arkansas,,"Liquid and solid wastes, soil, sediments, buildings, equipment contaminated 
by herbicides, dioxins, VOCs and herbicide production waste. Contaminated 
materials have been safely disposed of off-site or placed in an on-site 
hazardous waste landfill.[35][36]",12/30/1982,9/8/1983,8/31/1998,–,–,,,
CA0001576081,AMCO Chemical,,Alameda,California,,"Groundwater, soil, and soil gas are contaminated with chlorinated solvents 
and other contaminants including vinyl chloride.",4/30/2003,9/29/2003,,,,,,
CA2170023236,Alameda Naval Air Station,,Alameda,California,,,5/10/1999,7/22/1999,,,,,,
CA2890012584,Lawrence Livermore National Laboratory (USDOE),,Alameda,California,,,10/15/1984,7/22/1987,8/10/2007,,,,,
CA2890090002,Lawrence Livermore Lab Site 300 (USDOE),,Alameda and San Joaquin,California,,,7/14/1989,8/30/1990,,,,,,
CAD980673685,Leviathan Mine,,Alpine,California,,,10/22/1999,5/11/2000,,,,,,
CAD009112087,"Koppers Co., Inc. (Oroville Plant)",,Butte,California,,,9/8/1983,9/21/1984,9/4/2003,,,,,
CAD065021594,Louisiana-Pacific Corp.,,Butte,California,,,10/15/1984,6/10/1986,10/1/1995,,11/21/1996,,,
CAD980894679,Western Pacific Railroad Co.,,Butte,California,,,10/26/1989,8/30/1990,3/31/1999,,8/29/2001,,,
CA7170024528,Concord Naval Weapons Station,,Contra Costa,California,,,6/24/1988,12/16/1994,,,,,,
CAD980498562,"GBF, Inc., Dump",,Contra Costa,California,,,6/24/1988,,,,,,,
CAT000646208,Liquid Gold Oil Corp.,,Contra Costa,California,,,12/30/1982,9/8/1983,9/27/1995,,9/11/1996,,,
CAD981436363,United Heckathorn Co.,,Contra Costa,California,,,10/26/1989,3/14/1990,,,,,,
CAD000626176,Del Norte Pesticide Storage,,Del Norte,California,,,9/8/1983,9/21/1984,6/18/1992,,9/18/2002,,,
CAD980496863,Atlas Asbestos Mine,,Fresno,California,,,9/8/1983,9/21/1984,9/2/1999,,,,,
CAD980817217,Coalinga Asbestos Mine,,Fresno,California,,,9/8/1983,9/21/1984,3/14/1995,,4/24/1998,,,
CAD980636914,Fresno Municipal Sanitary Landfill,,Fresno,California,,,6/24/1988,10/4/1989,,,,,,
CAD980736284,Industrial Waste Processing,,Fresno,California,,,10/26/1989,8/30/1990,9/28/1999,,,,,
CAD980736151,"Purity Oil Sales, Inc.",,Fresno,California,,,12/30/1982,9/8/1983,,,,,,
CAD029452141,Selma Treating Co.,,Fresno,California,,,12/30/1982,9/8/1983,1/26/2005,,,,,
CAD009106220,T.H. Agriculture & Nutrition Co.,,Fresno,California,,,10/15/1984,6/10/1986,6/24/2004,,8/21/2006,,,
CAD980638860,Celtor Chemical Works,,Humboldt,California,,,12/30/1982,9/8/1983,9/29/1989,,9/30/2003,,,
CAD066635442,Stoker Company,,Imperial,California,,,7/29/1991,,,,,,,
CAD052384021,"Brown & Bryant, Inc. (Arvin Plant)",,Kern,California,,,6/24/1988,10/4/1989,,,,,,
CA1570024504,Edwards Air Force Base,,"Kern, San Bernardino, and Los Angeles",California,,,7/14/1989,8/30/1990,,,,,,
CAD980893275,Sulphur Bank Mercury Mine,,Lake,California,,,6/24/1988,8/30/1990,,,,,,
CAD055753370,Cooper Drum Company,,Los Angeles,California,,,2/7/1992,6/14/2001,,,,,,
CAD029544731,Del Amo,,Los Angeles,California,,,7/29/1991,9/25/1997,,,,,,
CA9800013030,Jet Propulsion Laboratory (NASA),,Los Angeles,California,,,2/7/1992,10/14/1992,,,,,,
CAD008242711,Montrose Chemical Corp.,,Los Angeles,California,,,10/15/1984,10/4/1989,,,,,,
CAD042245001,Omega Chemical Corporation,,Los Angeles,California,,,9/29/1998,1/19/1999,,,,,,
CAT080012024,"Operating Industries, Inc., Landfill",,Los Angeles,California,,,10/15/1984,6/10/1986,,,,,,
CAD980737092,Pemaco Maywood,,Los Angeles,California,,,7/28/1998,1/19/1999,9/25/2007,,,,,
CAD980894893,San Fernando Valley (Area 1),,Los Angeles,California,,,10/15/1984,6/10/1986,,,,,,
CAD980894901,San Fernando Valley (Area 2),,Los Angeles,California,,,10/15/1984,6/10/1986,,,,,,
CAD980894984,San Fernando Valley (Area 3),,Los Angeles,California,,,10/15/1984,6/10/1986,5/20/2004,,10/12/2004,,,
CAD980894976,San Fernando Valley (Area 4),,Los Angeles,California,,,10/15/1984,6/10/1986,,,,,,
CAD980677355,San Gabriel Valley (Area 1),,Los Angeles,California,,,9/8/1983,5/8/1984,,,,,,
CAD980818512,San Gabriel Valley (Area 2),,Los Angeles,California,,,9/8/1983,5/8/1984,,,,,,
CAD980818579,San Gabriel Valley (Area 3),,Los Angeles,California,,,9/8/1983,5/8/1984,,,,,,
CAD980817985,San Gabriel Valley (Area 4),,Los Angeles,California,,,9/8/1983,5/8/1984,,,,,,
CAD980884357,"Waste Disposal, Inc.",,Los Angeles,California,,,6/10/1986,7/22/1987,8/12/2005,,,,,
CAD063015887,Coast Wood Preserving,,Mendocino,California,,,12/30/1982,9/8/1983,,,,,,
CA3570024551,Castle Air Force Base (6 Areas),,Merced,California,,,10/15/1984,7/22/1987,9/21/2006,,,,,
CAD980498455,Crazy Horse Sanitary Landfill,,Monterey,California,,,6/24/1988,8/30/1990,,,,,,
CAD990793887,Firestone Tire & Rubber Company (Salinas Plant),,Monterey,California,,,10/15/1984,7/22/1987,12/24/1991,,4/21/2005,,,
CA7210020676,Fort Ord,,Monterey,California,,,7/14/1989,2/21/1990,,,,,,
CAD983618893,Lava Cap Mine,,Nevada,California,,,9/29/1998,1/19/1999,,,,,,
CA6170023208,El Toro Marine Corps Air Station,,Orange,California,,,6/24/1988,2/21/1990,,,,,,
CAD980498695,McColl,,Orange,California,,"200,000 cubic yards of oil refinery acid sludge and oil field drilling 
muds, including sulfur and hydrocarbons. The wastes have reacted to produce 
a mixture of complex organic and sulfur-containing compounds, some of which 
are gases.",12/30/1982,9/8/1983,6/30/1998,,,,,
CAD981995947,Ralph Gray Trucking Co.,,Orange,California,,,7/29/1991,10/14/1992,8/31/2000,,9/28/2004,,,
CAD098229214,Alark Hard Chrome,,Riverside,California,,,7/27/2000,12/1/2000,,,,,,
CA4570024527,March Air Force Base,,Riverside,California,,,7/14/1989,11/21/1989,,,,,,
CAT080012826,Stringfellow Acid Pits,,Riverside,California,,,12/30/1982,9/8/1983,,,,,,
CAD980358832,Aerojet General Corp.,,Sacramento,California,,,12/30/1982,9/8/1983,,,,,,
CAD980737613,Jibboom Junkyard,,Sacramento,California,,,12/30/1982,9/8/1983,3/31/1988,,9/10/1991,,,
CA8570024143,Mather Air Force Base (Aircraft Control and Warning Disposal Site),,Sacramento,California,,,10/15/1984,7/22/1987,9/29/2009,,,,,
CA4570024337,McClellan Air Force Base (Groundwater Contamination),,Sacramento,California,,,10/15/1984,7/22/1987,,,,,,
CA0210020780,Sacramento Army Depot,,Sacramento,California,,,10/15/1984,7/22/1987,8/28/2002,–,–,,,
CA0001900463,New Idria Mercury Mine,,San Benito,California,,,3/10/2011,–,–,–,–,,,
CAN000905945,B.F. Goodrich,,San Bernardino,California,,,9/3/2008,9/23/2009,–,–,–,,,
CA8170024261,Barstow Marine Corps Logistics Base,,San Bernardino,California,,,7/14/1989,11/21/1989,,,,,,
CA2570024453,George Air Force Base,,San Bernardino,California,,,7/14/1989,2/21/1990,,,,,,
CAD981434517,Newmark Ground Water Contamination,,San Bernardino,California,,,6/24/1988,3/31/1989,,,,,,
CA4570024345,Norton Air Force Base (Landfill #2),,San Bernardino,California,,,10/15/1984,7/22/1987,5/16/2006,,,,,
CA2170023533,Camp Pendleton Marine Corps Base,,San Diego,California,,,7/14/1989,11/21/1989,,,,,,
CA1170090087,Treasure Island Naval Station-Hunters Point Annex,,San Francisco,California,,,7/14/1989,11/21/1989,,4/5/1999,,,,
CAD009106527,McCormick & Baxter Creosoting Co.,,San Joaquin,California,,,2/7/1992,10/14/1992,,,,,,
CA8210020832,Sharpe Army Depot,,San Joaquin,California,,,10/15/1984,7/22/1987,6/27/2003,,,,,
CA4971520834,Tracy Defense Depot (USARMY),,San Joaquin,California,,,7/14/1989,8/30/1990,,,,,,
CA1141190578,Klau/Buena Vista Mine,,San Luis Obispo,California,,,9/23/2004,4/19/2006,,,,,,
CAD020748125,Casmalia Resources,,Santa Barbara,California,,,6/14/2001,9/13/2001,,,,,,
CAD048634059,"Advanced Micro Devices, Inc.",,Santa Clara,California,,"VOC contamination was historically present in soil but has since been remediated to below regulatory criteria. Currently, groundwater contains various VOCs, however, institutional controls are in place to ensure that no one can ingest or come in direct contact with contaminated groundwater.",10/15/1984,6/10/1986,9/17/1993,,,,,
CAT080034234,"Advanced Micro Devices, Inc. (Bldg. 915)",,Santa Clara,California,,"Groundwater contains various VOCs. However, the soil contaminated with organic solvents has been removed, and controls are in place to ensure that no one is drinking the contaminated groundwater or coming into contact with it.",6/24/1988,8/30/1990,3/25/1992,,,,,
CAD042728840,Applied Materials,,Santa Clara,California,,"Groundwater at the site is contaminated with Volatile Organic Compounds (VOCs), primarily of 1,1,1-trichloroethane (1,1,1-TCA), 1,1-dichloroethane (1,1-DCA), and 1,1-dichloroethene (1,1-DCE). In November 1983, VOCs were discovered in a monitoring well down gradient from three Underground Storage Tanks (USTs) on the west side of the large building. Site investigation began shortly after the contamination was discovered. Groundwater monitoring and extraction wells were installed and groundwater extraction began in November 1984. In January 1985, Applied Materials removed the tanks, excavated the contaminated soils, and constructed a groundwater extraction pit.",10/15/1984,7/22/1987,9/27/1993,,,,,
CAD009212838,"CTS Printex, Inc.",,Santa Clara,California,,"Metals and degreasing compounds (e.g., organic solvents) were discharged to soil and groundwater during CTS Printex’s manufacturing operations. Investigation and remediation, including soil excavation and groundwater extraction, were undertaken by CTS Corporation and Nearon Enterprises between 1985 and 1996.",6/24/1988,2/21/1990,3/31/1992,,,,,
CAD095989778,Fairchild Semiconductor Corp. (Mountain View Plant),,Santa Clara,California,,The primary contaminants of concern are trichloroethene (TCE) and other volatile organic compounds (VOCs). The soil has been cleaned up to meet the soil cleanup standards,10/15/1984,2/11/1991,8/24/1999,,,,,
CAD097012298,Fairchild Semiconductor Corp. (South San Jose Plant),,Santa Clara,California,,"Initial investigations were conducted in November/December 1981 and determined that compounds of concern (COCs) were in soil and groundwater at the Site. The investigation identified a single source: a 5,940-gallon underground waste storage tank. The COCs included 1,1,2-trichloro-1,2,2-trifluoroethane (Freon 113), 1,1,1-TCA, acetone, isopropyl alcohol, tetrachloroethene, xylenes, and 1,1-DCE, which is a degradation product of 1,1,1-TCA.",10/15/1984,10/4/1989,3/25/1992,,,,,
CAD980884209,Hewlett-Packard (620-640 Page Mill Road),,Santa Clara,California,,"In 1981, at least 300 gallons of waste solvents leaked from an underground storage tank. The company excavated the tank and approximately 100 cubic yards of contaminated soil in 1981 and transported the materials to a hazardous waste disposal facility. Since 1982, the company has been pumping and treating contaminated groundwater from the shallow, chemically affected, aquifer. Five municipal backup supply wells draw water from a deeper aquifer located within 3 miles of the site. The nearest residential areas are located approximately 1/8 of a mile northeast of the facility.",6/24/1988,2/21/1990,9/16/1997,,,,,
CAD061620217,Intel Corp. (Mountain View Plant),,Santa Clara,California,,The primary contaminants of concern are trichloroethene (TCE) and other volatile organic compounds (VOCs) in groundwater. The soil has been cleaned up to meet the soil cleanup standards.,10/15/1984,6/10/1986,8/24/1999,,,,,
CAT000612184,Intel Corp. (Santa Clara III),,Santa Clara,California,,"Groundwater has been contaminated with volatile organic compounds (VOCs), primarily trichloroethene (TCE). Based on available information, this site is not considered to be of public health concern because of the apparent absence of people being exposed to hazardous substances. However, people could face a health risk if they accidentally ingest or come into direct contact with contaminated water.",10/15/1984,6/10/1986,8/18/1992,,,,,
CAD092212497,Intel Magnetics,,Santa Clara,California,,"Monitoring wells on the site are contaminated with volatile organic compounds (VOCs), believed to have resulted from surface spills and a leak from an underground storage tank. This is one of 28 NPL sites in the South Bay Area of San Francisco. Facilities at these sites have used a variety of toxic chemicals, primarily chlorinated organic solvents, which have contaminated a common groundwater basin. Approximately 300,000 people depend on groundwater within 3 miles of the site as a source of drinking water. Twenty Santa Clara wells and four Sunnyvale wells are located within a 3-mile radius of the site.",10/15/1984,6/10/1986,8/19/1992,,,,,
CAD041472341,Intersil Inc./Siemens Components,,Santa Clara,California,,"Investigations conducted in 1982 as part of the California Regional Water Quality Control Board's (CRWQCB) underground storage tank leak detection program found volatile organic compound (VOC) contaminated soils on- and off-site. This contamination is believed to have resulted from localized spills and from leaking underground storage tanks and piping from the two companies. At the Siemens facility, four underground tanks were used to store waste solvents. At the Intersil facility, possible sources of contamination include the waste neutralization systems and the concrete scrubber pit sumps. More than 300,000 people obtain drinking water from public wells located within 3 miles of the site. The groundwater is used for the municipal water supplies of the cities of Cupertino, Santa Clara, and Sunnyvale. Five municipal water supply wells are located within 1 mile of the site. Three of these wells, operated by the City of Santa Clara, are located hydraulically downgradient from the site. The distance from the site to the City of Santa Clara Well #15, the closest municipal well, is 1,300 feet. Calabazas Creek, an intermittent stream, is located approximately 1,500 feet east of the site.",6/24/1988,8/30/1990,9/8/1992,,,,,
CAD009103318,Jasco Chemical Corp.,,Santa Clara,California,,"Bulk solvents used at the site were received by tankers and stored in eight underground storage tanks. Prior to 1985, Tank #3 was used to store pentachlorophenol (PCP), which was an ingredient of a wood preservative formerly produced by Jasco. The product was discontinued in 1985, and the tank was converted to store paint thinner. Elevated levels of volatile organic compounds (VOCs) were detected in soils from a swale area located behind the building and in the shallow groundwater.",6/24/1988,10/4/1989,9/20/2002,,,,,
